"","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4"
"2046",0.4882729211,25800,34900,0.1601503759,6363,0.455,0.326050843593251
"2867",0.47186444148188,22200,40187.6009768927,0.1904761905,9624.65620094192,0.307,0.4634
"4412",0.4043010753,41300,56800,0.1160541586,9624.65620094192,0.662,0.2228
"1553",0.4781704782,26800,35500,0.1757009346,10680,0.498,0.326050843593251
"5086",0.3637071651,49700,66200,0.1538461538,9624.65620094192,0.789,0.1829
"4842",0.3828571429,15400,40187.6009768927,0.1204188482,9624.65620094192,0.143,0.326050843593251
"476",0.6715557884,28600,37500,0.0829361296,4609,0.475,0.326050843593251
"1585",0.5397568402,31000,41800,0.0704771254,9624.65620094192,0.514,0
"1359",0.4179431072,29600,40100,0.1629063098,7568,0.552,0.326050843593251
"5284",0.5726681128,17400,24500,0.0598187311,9624.65620094192,0.24,0.326050843593251
"2954",0.3855932203,37300,48100,0.1696658098,9624.65620094192,0.692,0.3174
"3827",0.587628866,19200,40187.6009768927,0.0973451327,9624.65620094192,0.217,0.326050843593251
"5517",0.5349794239,19300,26800,0.112368633963963,9624.65620094192,0.303,0.326050843593251
"7624",0.5214854804,41600,54700,0.0731064995,9624.65620094192,0.697,0.326050843593251
"2921",0.5394769005,27700,38100,0.1045125585,3129,0.476,0.326050843593251
"965",0.4481132075,34400,47600,0.130952381,8331,0.681,0.08
"2965",0.5157232704,15100,40187.6009768927,0.1104972376,9624.65620094192,0.14,0.326050843593251
"103",0.4972857507,33100,44700,0.0815370778,9624.65620094192,0.578,0.326050843593251
"2936",0.3019607843,35300,42000,0.2007469655,9624.65620094192,0.698,0.5068
"2612",0.2706325932,32200,42500,0.1563236449,17209,0.635,0.558
"3700",0.4615803815,41600,49400,0.1148523985,9624.65620094192,0.783,0.326050843593251
"4600",0.5896805897,19100,26200,0.1418918919,9624.65620094192,0.27,0.326050843593251
"3786",0.3741785543,36900,46600,0.1521089823,13363,0.712,0.266
