"","x"
"2046",0.225
"2867",0.027
"4412",0.122
"1553",0.234
"5086",0.034
"4842",0.218
"476",0.179
"1585",0.129
"1359",0.07
"5284",0.205
"2954",0.072
"3827",0.098
"5517",0.118
"7624",0.116
"2921",0.187
"965",0.066
"2965",0.115
"103",0.188
"2936",0.042
"2612",0.031
"3700",0.074
"4600",0.171
"3786",0.084
"1429",0.104
"5126",0.188
"6090",0.201
"5548",0.116
"6291",0.164
"4958",0.23
"4237",0.204
"4058",0.057
"179",0.267
"5303",0.255
"3656",0.039
"3352",0.043
"541",0.012
"761",0.211
"2419",0.219
"3966",0.021
"5062",0.181
"3110",0.022
"6978",0.113
"3508",0.127
"4972",0.11
"5852",0.137
"644",0.083
"6407",0.141
"2547",0.162
"3635",0.014
"2975",0.045
"7324",0.242
"3314",0.057
"5431",0.088
"3049",0.171
"2480",0.155
"5769",0.263
"1545",0.19
"1825",0.064
"449",0.121
"4889",0.188
"5927",0.096
"3464",0.272
"3120",0.118
"4978",0.267
"2686",0.197
"2055",0.034
"4814",0.042
"3632",0.107
"7413",0.225
"5556",0.088
"2708",0.307
"3275",0.022
"1125",0.122
"5429",0.16
"7522",0.171
"3758",0.211
"3672",0.079
"1315",0.087
"3440",0.022
"3874",0.017
"1573",0.068
"1733",0.07
"4354",0.17
"584",0.01
"270",0.246
"4866",0.132
"4527",0.141
"7453",0.109
"3840",0.205
"4549",0.161
"1807",0.218
"1952",0.035
"3421",0.04
"1324",0.04
"5643",0.135
"794",0.135
"6531",0.148
"4643",0.052
"2483",0.247
"3422",0.058
"3778",0.4
"1366",0.065
"3998",0.113
"569",0.164
"2096",0.043
"1605",0.176
"2149",0.054
"6751",0.25
"3366",0.044
"5882",0.179
"3115",0.036
"5454",0.041
"4749",0.263
"6448",0.116
"2947",0.156
"2865",0.118
"4555",0.103
"6795",0.06
"2210",0.141
"1439",0.099
"6595",0.16
"1423",0.251
"4116",0.024
"2922",0.109
"758",0.03
"829",0.132
"6309",0.175
"2387",0.213
"5875",0.141
"1641",0.011
"3877",0.044
"2018",0.084
"3889",0.088
"4220",0.128
"969",0.083
"1922",0.215
"5381",0.188
"751",0.173
"5718",0.019
"6131",0.205
"2309",0.046
"4864",0.181
"2545",0.141
"1965",0.041
"1238",0.076
"2411",0.11
"3816",0.073
"1927",0.043
"2595",0.123
"7597",0.177
"4717",0.109
"2914",0.034
"4143",0.029
"3208",0.141
"3380",0.06
"2287",0.041
"6793",0.185
"3096",0.156
"1574",0.144
"3198",0.122
"3431",0.01
"7569",0.194
"5679",0.3
"7641",0.116
"811",0.056
"1845",0.173
"3712",0.188
"2776",0.14
"6958",0.17
"3901",0.041
"2361",0.148
"2069",0.226
"5860",0.224
"5226",0.188
"1228",0.006
"463",0.058
"2837",0.113
"1258",0.042
"2219",0.082
"1428",0.22
"1911",0.044
"1346",0.157
"3545",0.214
"207",0.261
"3914",0.025
"356",0.273
"1029",0.132
"981",0.027
"7502",0.051
"1679",0.098
"975",0.188
"2424",0.111
"3756",0.151
"5049",0.147
"735",0.153
"881",0.155
"374",0.323
"4988",0.072
"703",0.012
"3646",0.184
"3416",0.223
"7333",0.242
"1305",0.026
"507",0.022
"2961",0.051
"1044",0.044
"5321",0.172
"3658",0.199
"614",0.212
"2614",0.04
"7435",0.053
"2307",0.025
"2995",0.364
"6310",0.103
"5993",0.141
"5770",0.266
"5621",0.263
"2165",0.181
"2944",0.197
"5986",0.141
"2680",0.275
"3261",0.018
"4288",0.034
"7286",0.114
"1300",0.038
"4976",0.127
"1982",0.237
"3453",0.042
"1264",0.008
"2716",0.104
"5335",0.135
"3575",0.195
"5768",0.15
"3075",0.168
"2079",0.166
"605",0.143
"6512",0.188
"3466",0.22
"802",0.166
"2447",0.158
"523",0.068
"3205",0.022
"4122",0.053
"6807",0.038
"1690",0.049
"6336",0.172
"1298",0.223
"3147",0.064
"4132",0.031
"4804",0.125
"1700",0.091
"1763",0.078
"5831",0.188
"6085",0.16
"1078",0.025
"1051",0.008
