"","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4"
"1",0.3940338379,25600,33200,0.0975898854,15229,0.426,0.1102
"2",0.3571588618,37500,48400,0.1388426311,14789,0.665,0.3258
"3",0.6024096386,40100,51400,0.0332326284,9624.65620094192,0.676,0
"4",0.3429191536,39300,54800,0.1426418885,18596,0.668,0.1516
"5",0.3805576488,22200,30900,0.0838948787,11110,0.36,0.0752
"6",0.2445520581,36500,46300,0.1404260245,20787,0.67,0.3877
"7",0.5605658709,25500,35200,0.0995405819,6922,0.459,0.326050843593251
"8",0.4715947981,35500,44700,0.1588725176,9624.65620094192,0.666,0.326050843593251
"9",0.3873000485,30600,40500,0.1103388358,13431,0.575,0.0863
"10",0.1988738739,39900,51200,0.1418269231,18644,0.725,0.4225
"11",0.2,31400,42900,0.1824817518,9624.65620094192,0.568,0.5622
"12",0.4423213022,24400,32800,0.0892307692,1315,0.401,0.326050843593251
"13",0.5334773218,21300,28800,0.0503731343,9624.65620094192,0.333,0.0536
"14",0.4874431058,37100,51300,0.0858097415,9624.65620094192,0.611,0.0476
"15",0.4534786253,31100,44300,0.0962643678,3762,0.494,0.326050843593251
"16",0.4584545748,26900,36700,0.1101156069,6675,0.467,0.326050843593251
"17",0.4313358302,33600,44600,0.1181525242,9624.65620094192,0.599,0.1193
"18",0.5290178571,28800,38300,0.1370060571,7817,0.518,0.326050843593251
"19",0.5277980447,31300,41400,0.0754226268,9624.65620094192,0.564,0
"20",0.3275590551,31200,38100,0.1432748538,9624.65620094192,0.626,0.3004
"21",0.47186444148188,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0.25
"22",0.413028169,29200,37900,0.156843484,17974,0.521,0.0869
"23",0.4873756695,28500,38600,0.1178474114,9207,0.534,0.326050843593251
"24",0.4918952618,27100,36400,0.1151065802,5686,0.472,0.326050843593251
"25",0.4605809129,22100,40187.6009768927,0.1373239437,9624.65620094192,0.348,0.3684
"26",0.3970149254,29800,40400,0.1051693405,13092,0.525,0.1951
"27",0.2594594595,34400,44800,0.1625615764,10679,0.6,0.326050843593251
"28",0.4240601504,21700,30000,0.0600130463,9624.65620094192,0.37,0.0824
"29",0.3532934132,32100,43800,0.1531165312,9624.65620094192,0.561,0.249
"30",0.3710144928,26600,36200,0.1635720601,16877,0.538,0.2071
"31",0.5428176796,23700,32900,0.0968523002,6513,0.384,0.326050843593251
"32",0.3891175126,30100,38700,0.1625911626,11294,0.551,0.1204
"33",0.5943804035,24800,34300,0.1180857676,3049,0.423,0.326050843593251
"34",0.1875843455,26900,35400,0.1487804878,9624.65620094192,0.432,0.1988
"35",0.3465346535,29569.8983050847,40187.6009768927,0.1160714286,9624.65620094192,0.500679491525424,0.326050843593251
"36",0.1464713715,41600,51100,0.1558109834,9624.65620094192,0.724,0.4766
"37",0.6174698795,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0.0378
"38",0.3543979505,33900,45100,0.1435614277,14327,0.616,0.1538
"39",0.2893481717,37000,48200,0.1518796992,9624.65620094192,0.713,0.5087
"40",0.4583333333,32200,40187.6009768927,0.112368633963963,9624.65620094192,0.639,0.1538
"41",0.4034416826,23100,32100,0.0841750842,9624.65620094192,0.386,0.1208
"42",0.4528619529,20600,29600,0.0742857143,9624.65620094192,0.331,0.3376
"43",0.4253235977,32500,42400,0.1192043294,11907,0.592,0.1456
"44",0.246031746,31500,42800,0.1344,9624.65620094192,0.52,0.2133
"45",0.4382022472,42600,40187.6009768927,0.11,9624.65620094192,0.721,0.326050843593251
"46",0.418586984,40000,54600,0.1352718078,8661,0.675,0.0802
"47",0.4173913043,35700,47000,0.1360381862,9188,0.604,0.1494
"48",0.3784860558,32300,46300,0.1271777003,8971,0.587,0.0367
"49",0.47186444148188,38700,54200,0.2032520325,9624.65620094192,0.688,0.5333
"50",0.4712643678,33400,44900,0.1330049261,9624.65620094192,0.533,0.326050843593251
"51",0.5474525475,32500,43600,0.0872050147,9624.65620094192,0.586,0.2364
"52",0.4618834081,26400,37300,0.0873533246,9624.65620094192,0.535,0.326050843593251
"53",0.4302325581,23800,33400,0.0787037037,9624.65620094192,0.4,0.3608
"54",0.4900793651,29569.8983050847,40187.6009768927,0.0593824228,9624.65620094192,0.500679491525424,0.326050843593251
"55",0.5735110371,19700,27900,0.0646733832,9624.65620094192,0.325,0.326050843593251
"56",0.5471698113,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0
"57",0.5967578521,29100,40800,0.0828323313,9624.65620094192,0.546,0.326050843593251
"58",0.5595880333,26000,34000,0.0744742427,9624.65620094192,0.457,0.326050843593251
"59",0.5595880333,26000,34000,0.0744742427,9624.65620094192,0.457,0.326050843593251
"60",0.5595880333,26000,34000,0.0744742427,9624.65620094192,0.457,0.326050843593251
"61",0.5787631272,18900,27200,0.0492898914,9624.65620094192,0.303,0.2667
"62",0.5416666667,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0.326050843593251
"63",0.5560058954,21200,28600,0.0533001933,9624.65620094192,0.331,0.2157
"64",0.3804779412,39400,51000,0.1459797818,10858,0.716,0.428
"65",0.6340757883,24300,32700,0.1055374593,8978,0.392,0.326050843593251
"66",0.3209733488,38100,48900,0.1408362989,15215,0.675,0.4006
"67",0.47186444148188,22600,31500,0.112368633963963,9624.65620094192,0.431,0.1321
"68",0.4888469997,27200,36100,0.1135416667,5211,0.479,0.326050843593251
"69",0.5100738751,30300,40400,0.060199005,9624.65620094192,0.562,0.1
"70",0.5662650602,17800,40187.6009768927,0.112368633963963,9624.65620094192,0.28,0.326050843593251
"71",0.5200501253,26000,34100,0.0878201777,5572,0.412,0.326050843593251
"72",0.5195702226,19500,28200,0.072300183,9624.65620094192,0.308,0.326050843593251
"73",0.5195702226,19500,28200,0.072300183,9624.65620094192,0.308,0.326050843593251
"74",0.495,22700,30000,0.0838323353,9624.65620094192,0.391,0.326050843593251
"75",0.4927835052,18500,26500,0.1060735672,9624.65620094192,0.275,0.326050843593251
"76",0.3637071651,49700,66200,0.1538461538,9624.65620094192,0.789,0.3462
"77",0.47186444148188,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0.326050843593251
"78",0.5570452495,29900,39200,0.0924018358,7600,0.562,0.326050843593251
"79",0.4857530968,43100,61300,0.1320289378,9624.65620094192,0.655,0.1818
"80",0.5540730337,34600,49000,0.0848017621,8019,0.599,0.326050843593251
"81",0.4713740458,30500,41200,0.0965431627,8494,0.551,0.326050843593251
"82",0.4972857507,33100,44700,0.0815370778,9624.65620094192,0.578,0.326050843593251
"83",0.4972857507,33100,44700,0.0815370778,9624.65620094192,0.578,0.1429
"84",0.5534832693,24700,33300,0.0873342478,8018,0.41,0.326050843593251
"85",0.5212620027,32300,42000,0.1131297513,9624.65620094192,0.629,0.326050843593251
"86",0.3840232798,34700,44100,0.155048693,13683,0.654,0.3319
"87",0.4381948986,39900,51100,0.1578947368,9624.65620094192,0.725,0.326050843593251
"88",0.5942028986,28600,37800,0.0683307767,7937,0.512,0.326050843593251
"89",0.4246575342,24600,36000,0.112368633963963,9624.65620094192,0.441,0.326050843593251
