"","x"
"1",0.172
"2",0.062
"3",0.122
"4",0.061
"5",0.156
"6",0.063
"7",0.219
"8",0.086
"9",0.106
"10",0.045
"11",0.044
"12",0.11
"13",0.315
"14",0.17
"15",0.232
"16",0.162
"17",0.1
"18",0.186
"19",0.116
"20",0.102
"21",0.173
"22",0.096
"23",0.16
"24",0.183
"25",0.132
"26",0.078
"27",0.136
"28",0.168
"29",0.062
"30",0.103
"31",0.232
"32",0.111
"33",0.232
"34",0.125
"35",0.057
"36",0.007
"37",0.142
"38",0.075
"39",0.066
"40",0.048
"41",0.187
"42",0.281
"43",0.114
"44",0.128
"45",0.042
"46",0.124
"47",0.125
"48",0.116
"49",0.077
"50",0.134
"51",0.133
"52",0.208
"53",0.237
"54",0.098
"55",0.11
"56",0.306
"57",0.086
"58",0.175
"59",0.175
"60",0.175
"61",0.265
"62",0.078
"63",0.12
"64",0.073
"65",0.27
"66",0.06
"67",0.198
"68",0.244
"69",0.181
"70",0.192
"71",0.096
"72",0.093
"73",0.093
"74",0.091
"75",0.185
"76",0.034
"77",0
"78",0.22
"79",0.103
"80",0.182
"81",0.229
"82",0.188
"83",0.188
"84",0.229
"85",0.189
"86",0.073
"87",0.076
"88",0.248
"89",0.168
"90",0.213
"91",0.095
"92",0.095
"93",0.07
"94",0.112
"95",0.299
"96",0.048
"97",0.297
"98",0.163
"99",0.285
"100",0.059
"101",0.235
"102",0.171
"103",0.147
"104",0.126
"105",0.232
"106",0.086
"107",0.011
"108",0.192
"109",0.254
"110",0.146
"111",0.102
"112",0.064
"113",0.026
"114",0.144
"115",0.063
"116",0.247
"117",0.2
"118",0.102
"119",0.171
"120",0.249
"121",0.089
"122",0.061
"123",0.243
"124",0.091
"125",0.109
"126",0.246
"127",0.281
"128",0.218
"129",0.122
"130",0.26
"131",0.244
"132",0.031
"133",0.149
"134",0.048
"135",0.154
"136",0.116
"137",0.031
"138",0.107
"139",0.141
"140",0.114
"141",0.095
"142",0.05
"143",0.183
"144",0.228
"145",0.068
"146",0.139
"147",0.192
"148",0.175
"149",0.169
"150",0.156
"151",0.17
"152",0.267
"153",0.095
"154",0.188
"155",0.233
"156",0.177
"157",0.106
"158",0.089
"159",0.194
"160",0.18
"161",0.219
"162",0.203
"163",0.11
"164",0.188
"165",0.016
"166",0.205
"167",0.167
"168",0.175
"169",0.245
"170",0.097
"171",0.219
"172",0.037
"173",0.08
"174",0.054
"175",0.263
"176",0.261
"177",0.032
"178",0.268
"179",0.305
"180",0.036
"181",0.213
"182",0.092
"183",0.111
"184",0.022
"185",0.105
"186",0.07
"187",0.011
"188",0.253
"189",0.03
"190",0.032
"191",0.163
"192",0.047
"193",0.033
"194",0.007
"195",0.025
"196",0.027
"197",0.016
"198",0.027
"199",0.067
"200",0.056
"201",0.069
"202",0.032
"203",0.055
"204",0.077
"205",0.043
"206",0.035
"207",0.046
"208",0.038
"209",0.06
"210",0.052
"211",0.058
"212",0.029
"213",0.027
"214",0.023
"215",0.015
"216",0.043
"217",0.025
"218",0.007
"219",0.04
"220",0.034
"221",0.045
"222",0.142
"223",0.111
"224",0.259
"225",0.067
"226",0.053
"227",0.038
"228",0.007
"229",0.107
"230",0.135
"231",0.077
"232",0.054
"233",0.246
"234",0.246
"235",0.246
"236",0.246
"237",0.246
"238",0.246
"239",0.171
"240",0.227
"241",0.201
"242",0.102
"243",0.023
"244",0.022
"245",0.024
"246",0.084
"247",0.05
"248",0.168
"249",0.166
"250",0.039
"251",0
"252",0.184
"253",0.106
"254",0.063
