"","x"
"1",0.4369682908
"2",0.7858105074
"3",0.5321336761
"4",0.8124448367
"5",0.3412367831
"6",0.8284531204
"7",0.4339130435
"8",0.7860606061
"9",0.6377086495
"10",0.908770556
"11",0.902676399
"12",0.5322580645
"13",0.2303262956
"14",0.372292941
"15",0.5511811024
"16",0.5918690602
"17",0.5874602453
"18",0.6121292902
"19",0.5052491498
"20",0.7955271565
"21",0.7333333333
"22",0.6559399303
"23",0.6412310287
"24",0.5639686684
"25",0.7300613497
"26",0.5596868885
"27",0.7
"28",0.2921985816
"29",0.7388235294
"30",0.7752293578
"31",0.51934052
"32",0.7230514096
"33",0.6103542234
"34",0.4662650602
"35",0.7040816327
"36",0.93708166
"37",0.262295082
"38",0.7208783029
"39",0.8286189684
"40",0.6556291391
"41",0.3541383989
"42",0.2761341223
"43",0.5525268259
"44",0.6671887236
"45",0.7352941176
"46",0.7395358924
"47",0.7057331304
"48",0.703196347
"49",0.8352490421
"50",0.7941176471
"51",0.4977876106
"52",0.5964912281
"53",0.2705751288
"54",0.3467060811
"55",0.4938053097
"56",0.3940455342
"57",0.2954545455
"58",0.5480588014
"59",0.5045978689
"60",0.5045978689
"61",0.5045978689
"62",0.1836195509
"63",0.4056603774
"64",0.159643436
"65",0.25297442
"66",0.8163693599
"67",0.4806629834
"68",0.8531167901
"69",0.4941176471
"70",0.4485094851
"71",0.3354708684
"72",0.488372093
"73",0.6151515152
"74",0.6421232877
"75",0.6421232877
"76",0.7025495751
"77",0.5229885057
"78",0.8849226161
"79",0.5092756184
"80",0.4894776152
"81",0.5337078652
"82",0.5530846485
"83",0.5074978312
"84",0.4089440994
"85",0.4089440994
"86",0.4505102041
"87",0.5666079073
"88",0.7764237752
"89",0.7509140768
"90",0.4354790863
"91",0.6805555556
"92",0.5073987539
"93",0.6459455416
"94",0.6459455416
"95",0.8123827392
"96",0.5733610822
"97",0.3248615184
"98",0.3661971831
"99",0.6061080658
"100",0.3654096229
"101",0.8253968254
"102",0.2975845411
"103",0.6200592154
"104",0.648410366
"105",0.4761904762
"106",0.5374855825
"107",0.6812191104
