"","CDR3","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4","MN_EARN_WNE_INC1_P6","C150_4_WHITE","PCT25_EARN_WNE_P6","NPT4_75UP_PUB","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP"
"1",0.172,0.3940338379,25600,33200,0.0975898854,15229,0.426,0.1102,24400,0.1429,13100,18819,0.32451962616822,0.34531728950923
"2",0.062,0.3571588618,37500,48400,0.1388426311,14789,0.665,0.3258,37900,0.5506,20600,17103,0.54610480182926,0.50603084112149
"3",0.122,0.6024096386,40100,51400,0.0332326284,NA,0.676,0,29300,NA,19300,NA,NA,NA
"4",0.061,0.3429191536,39300,54800,0.1426418885,18596,0.668,0.1516,37700,0.4792,20300,21015,0.47240649606299,0.51159194113524
"5",0.156,0.3805576488,22200,30900,0.0838948787,11110,0.36,0.0752,20700,0.4444,11200,9757,0.2574049608355,0.29563165064102
"6",0.063,0.2445520581,36500,46300,0.1404260245,20787,0.67,0.3877,35700,0.6652,20800,23347,0.66125080978088,0.68575191360363
"7",0.219,0.5605658709,25500,35200,0.0995405819,6922,0.459,NA,22900,NA,12500,10627,NA,NA
"8",0.086,0.4715947981,35500,44700,0.1588725176,NA,0.666,NA,31100,NA,19900,NA,NA,NA
"9",0.106,0.3873000485,30600,40500,0.1103388358,13431,0.575,0.0863,28300,0.2623,16700,15482,0.24136439454691,0.22566386233269
"10",0.045,0.1988738739,39900,51200,0.1418269231,18644,0.725,0.4225,38900,0.7203,23200,21190,0.69354208066896,0.70475735062416
"11",0.044,0.2,31400,42900,0.1824817518,NA,0.568,0.5622,NA,0.6685,15500,NA,0.6307127919911,0.64522178217821
"12",0.11,0.4423213022,24400,32800,0.0892307692,1315,0.401,NA,21700,NA,11700,4245,NA,NA
"13",0.315,0.5334773218,21300,28800,0.0503731343,NA,0.333,0.0536,20000,0,10700,NA,0.23123125,0.06150476190476
"14",0.17,0.4874431058,37100,51300,0.0858097415,NA,0.611,0.0476,26300,0.2353,17200,NA,0.08507872340425,0.199995
"15",0.232,0.4534786253,31100,44300,0.0962643678,3762,0.494,NA,29200,NA,13100,7621,NA,NA
"16",0.162,0.4584545748,26900,36700,0.1101156069,6675,0.467,NA,25400,NA,13400,9798,NA,NA
"17",0.1,0.4313358302,33600,44600,0.1181525242,NA,0.599,0.1193,26000,0.3464,17200,NA,0.26223189823874,0.35215725806451
"18",NA,0.5360896987,22800,31300,0.0609792731,4352,0.379,NA,21500,NA,11000,8848,NA,NA
"19",NA,0.5503875969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,0.5297113752,24300,34300,NA,3115,0.403,NA,22700,NA,11600,6040,NA,NA
"21",0.186,0.5290178571,28800,38300,0.1370060571,7817,0.518,NA,26000,NA,14500,11188,NA,NA
"22",NA,0.505,23400,32000,NA,7207,0.375,NA,21900,NA,10700,NA,NA,NA
"23",0.116,0.5277980447,31300,41400,0.0754226268,NA,0.564,0,24300,0.4,16000,NA,0.24616923076923,0.22446734693877
"24",0.102,0.3275590551,31200,38100,0.1432748538,NA,0.626,0.3004,26700,0.4592,20500,NA,0.44117666666666,0.50122030075187
"25",0.173,NA,NA,NA,NA,NA,NA,0.25,NA,0.5,NA,NA,NA,NA
"26",NA,0.5936794582,21300,29800,NA,10048,0.357,NA,NA,NA,9600,NA,NA,NA
"27",0.096,0.413028169,29200,37900,0.156843484,17974,0.521,0.0869,25500,0.3478,16300,20800,0.30461334669338,0.34632955974842
"28",NA,0.5500821018,26500,37400,NA,3888,0.437,NA,24900,NA,13300,5301,NA,NA
"29",0.16,0.4873756695,28500,38600,0.1178474114,9207,0.534,NA,25500,NA,15100,13093,NA,NA
"30",0.183,0.4918952618,27100,36400,0.1151065802,5686,0.472,NA,24200,NA,13000,9758,NA,NA
"31",0.132,0.4605809129,22100,NA,0.1373239437,NA,0.348,0.3684,NA,0.4737,NA,NA,0.41956839080459,0.37667123287671
"32",NA,0.4386446886,22500,30800,NA,7387,0.37,NA,21800,NA,10800,NA,NA,NA
"33",0.078,0.3970149254,29800,40400,0.1051693405,13092,0.525,0.1951,25700,0.3896,16000,15706,0.32235821596244,0.2834300955414
"34",NA,0.5244399185,23700,32500,NA,7748,0.401,NA,22700,NA,11400,12528,NA,NA
"35",0.136,0.2594594595,34400,44800,0.1625615764,10679,0.6,NA,NA,NA,17300,13210,NA,NA
