"","CDR3","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4","MN_EARN_WNE_INC1_P6","C150_4_WHITE","PCT25_EARN_WNE_P6","NPT4_75UP_PUB","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP"
"2046",0.225,0.4882729211,25800,34900,0.1601503759,6363,0.455,NA,23300,NA,13000,8792,NA,NA
"2867",0.027,NA,22200,NA,0.1904761905,NA,0.307,0.4634,NA,0.5806,NA,NA,0.62997,0.7360344
"4412",0.122,0.4043010753,41300,56800,0.1160541586,NA,0.662,0.2228,39500,0.2977,19400,NA,0.27478391089108,0.31451916461916
"6994",NA,0.425,NA,NA,0.0662251656,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1553",0.234,0.4781704782,26800,35500,0.1757009346,10680,0.498,NA,23200,NA,15400,14777,NA,NA
"6916",NA,0.4450867052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7272",0.009,0.366148532,NA,NA,0.1317547055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5086",0.034,0.3637071651,49700,66200,0.1538461538,NA,0.789,0.1829,48400,0.1914,27900,NA,0.24531720613287,0.52031788617886
"4842",0.218,0.3828571429,15400,NA,0.1204188482,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"476",0.179,0.6715557884,28600,37500,0.0829361296,4609,0.475,NA,28000,NA,12500,8689,NA,NA
"1585",0.129,0.5397568402,31000,41800,0.0704771254,NA,0.514,0,22700,0.4256,12800,NA,0.37818747099767,NA
"1359",0.07,0.4179431072,29600,40100,0.1629063098,7568,0.552,NA,25100,NA,15900,10281,NA,NA
"5284",0.205,0.5726681128,17400,24500,0.0598187311,NA,0.24,NA,17000,NA,9300,NA,NA,NA
"2954",0.072,0.3855932203,37300,48100,0.1696658098,NA,0.692,0.3174,29900,0.485,21800,NA,0.42035180722891,0.45572049861495
"5920",0.146,0.5531914894,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"3827",0.098,0.587628866,19200,NA,0.0973451327,NA,0.217,NA,NA,NA,NA,NA,NA,NA
"5517",0.118,0.5349794239,19300,26800,NA,NA,0.303,NA,16600,NA,9100,NA,NA,NA
"7624",0.116,0.5214854804,41600,54700,0.0731064995,NA,0.697,NA,28600,NA,21400,NA,NA,NA
"2921",0.187,0.5394769005,27700,38100,0.1045125585,3129,0.476,NA,24300,NA,13700,6742,NA,NA
"5974",0.106,0.4,NA,NA,0.1085526316,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
