"","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4"
"2046",0.4882729211,25800,34900,0.1601503759,6363,0.455,0.502531767072135
"2867",0.47036481013588,22200,0.328442486085343,0.1904761905,6399.64135021097,0.307,0.4634
"4412",0.4043010753,41300,56800,0.1160541586,6399.64135021097,0.662,0.2228
"1553",0.4781704782,26800,35500,0.1757009346,10680,0.498,0.502531767072135
"5086",0.3637071651,49700,66200,0.1538461538,6399.64135021097,0.789,0.1829
"4842",0.3828571429,15400,0.328442486085343,0.1204188482,6399.64135021097,0.143,0.502531767072135
"476",0.6715557884,28600,37500,0.0829361296,4609,0.475,0.502531767072135
"1585",0.5397568402,31000,41800,0.0704771254,6399.64135021097,0.514,0
"1359",0.4179431072,29600,40100,0.1629063098,7568,0.552,0.502531767072135
"5284",0.5726681128,17400,24500,0.0598187311,6399.64135021097,0.24,0.502531767072135
"2954",0.3855932203,37300,48100,0.1696658098,6399.64135021097,0.692,0.3174
"3827",0.587628866,19200,0.328442486085343,0.0973451327,6399.64135021097,0.217,0.502531767072135
"5517",0.5349794239,19300,26800,0.508220223752151,6399.64135021097,0.303,0.502531767072135
"7624",0.5214854804,41600,54700,0.0731064995,6399.64135021097,0.697,0.502531767072135
"2921",0.5394769005,27700,38100,0.1045125585,3129,0.476,0.502531767072135
"965",0.4481132075,34400,47600,0.130952381,8331,0.681,0.08
"2965",0.5157232704,15100,0.328442486085343,0.1104972376,6399.64135021097,0.14,0.502531767072135
"103",0.4972857507,33100,44700,0.0815370778,6399.64135021097,0.578,0.502531767072135
"2936",0.3019607843,35300,42000,0.2007469655,6399.64135021097,0.698,0.5068
"2612",0.2706325932,32200,42500,0.1563236449,17209,0.635,0.558
"3700",0.4615803815,41600,49400,0.1148523985,6399.64135021097,0.783,0.502531767072135
"4600",0.5896805897,19100,26200,0.1418918919,6399.64135021097,0.27,0.502531767072135
"3786",0.3741785543,36900,46600,0.1521089823,13363,0.712,0.266
"1429",0.3648960739,29700,38200,0.169527897,6399.64135021097,0.572,0.3699
"5126",0.4972857507,33100,44700,0.0815370778,6399.64135021097,0.578,0.1379
"6090",0.5783227848,23500,31600,0.0492424242,6399.64135021097,0.382,0.502531767072135
"5548",0.5214854804,41600,54700,0.0731064995,6399.64135021097,0.697,0.25
"6291",0.3804213135,29500,38800,0.1384120172,6399.64135021097,0.571,0.502531767072135
"4958",0.590778098,23600,32400,0.0542231491,6399.64135021097,0.428,0.502531767072135
"4237",0.4889053254,14400,18700,0.0217640321,6399.64135021097,0.134,0.502531767072135
"4058",0.47036481013588,26100,0.328442486085343,0.1603773585,6399.64135021097,0.439,0.5143
"179",0.5285087719,24200,34000,0.0689338235,3773,0.434,0.502531767072135
"5303",0.6373003606,20200,28400,0.045880777,6399.64135021097,0.328,0.502531767072135
"3656",0.2083228247,40200,53500,0.1535319558,6399.64135021097,0.735,0.5465
"3352",0.2257993385,40900,52800,0.1641791045,16954,0.725,0.3283
"541",0.47036481013588,26400,0.328442486085343,0.2281879195,6399.64135021097,0.515,0.6292
"761",0.3980191642,30900,41900,0.0942643042,6399.64135021097,0.535,0.4906
"2419",0.4385080645,27100,36900,0.1621499548,7004,0.46,0.502531767072135
"3966",0.1848811356,47600,62900,0.1486129458,19691,0.813,0.6134
"5062",0.5100738751,30300,40400,0.060199005,6399.64135021097,0.562,0.502531767072135
"3110",0.3025682183,37500,50300,0.2092494314,6399.64135021097,0.66,0.5087
"6978",0.5893792072,23900,30100,0.073932441,6399.64135021097,0.48,0.502531767072135
"3508",0.3925925926,17900,25800,0.1184210526,6399.64135021097,0.265,0.502531767072135
"4972",0.4441558442,32100,43900,0.0667938931,6399.64135021097,0.53,0.502531767072135
"5852",0.6206896552,31700,43500,0.1283783784,6399.64135021097,0.633,0.502531767072135
"644",0.5497097242,36600,51300,0.1238235294,6399.64135021097,0.657,0.502531767072135
"6407",0.5118692592,20300,27900,0.0624194987,6399.64135021097,0.322,0.502531767072135
"2547",0.6101694915,29900,0.328442486085343,0.508220223752151,18194,0.63,0.502531767072135
"3635",0.1300639659,62500,73300,0.1680412371,6399.64135021097,0.81,0.8756
"2975",0.2048364154,32300,41300,0.1723202171,6399.64135021097,0.619,0.6011
"7324",0.5654697135,18300,26200,0.0642784553,6399.64135021097,0.267,0.502531767072135
"3314",0.3053052326,40900,54600,0.1578042283,6399.64135021097,0.718,0.502531767072135
"5431",0.4945054945,28900,37800,0.0775862069,6399.64135021097,0.48,0.502531767072135
"3049",0.4621212121,31000,0.328442486085343,0.1623376623,6399.64135021097,0.6,0.25
"2480",0.4636118598,25700,33600,0.1398188263,6074,0.435,0.502531767072135
"5769",0.6718680339,18000,24000,0.0268997983,6399.64135021097,0.221,0.502531767072135
"1545",0.5022376927,23600,32800,0.1219954649,10864,0.428,0.0173
"1825",0.3996598639,29200,37800,0.1606864275,6399.64135021097,0.541,0.2476
"449",0.5115303983,25500,34400,0.0774246129,6399.64135021097,0.48,0.502531767072135
"4889",0.4972857507,33100,44700,0.0815370778,6399.64135021097,0.578,0
"5927",0.435723115,22200,31100,0.1076923077,6399.64135021097,0.358,0.502531767072135
"3464",0.587863464,14700,21000,0.0210420842,6468,0.173,0.502531767072135
"3120",0.5034129693,18200,0.328442486085343,0.0886426593,6399.64135021097,0.293,0.502531767072135
"4978",0.4380165289,23500,31900,0.508220223752151,6399.64135021097,0.48,0.502531767072135
"2686",0.4015670911,25300,33000,0.117746005,6399.64135021097,0.483,0.1464
"2055",0.3574647887,36200,46300,0.1597526411,6399.64135021097,0.682,0.2917
"4814",0.4944751381,24900,32500,0.1011235955,6399.64135021097,0.428,0.502531767072135
"3632",0.4532019704,32700,41000,0.1507311586,6399.64135021097,0.633,0.2127
