"","RPY_3YR_RT","INC_PCT_M2","C150_4_POOLED_SUPP","PCT10_EARN_WNE_P6","GT_25K_P6","C150_4","NPT4_75UP_PUB","TUITIONFEE_OUT","NPT4_PUB","C100_4","PAR_ED_PCT_1STGEN","CDR3"
"1",0.4369682908,0.0975898854,0.32451962616822,4500,0.426,0.3525,18819,16596,15229,0.1102,0.3940338379,0.172
"2",0.7858105074,0.1388426311,0.54610480182926,9700,0.665,0.5554,17103,17062,14789,0.3258,0.3571588618,0.062
"3",0.5321336761,0.0332326284,NA,7300,0.676,0.2222,NA,6900,NA,0,0.6024096386,0.122
"4",0.8124448367,0.1426418885,0.47240649606299,9100,0.668,0.4614,21015,21232,18596,0.1516,0.3429191536,0.061
"5",0.3412367831,0.0838948787,0.2574049608355,4300,0.36,0.2632,9757,15656,11110,0.0752,0.3805576488,0.156
"6",0.8284531204,0.1404260245,0.66125080978088,9800,0.67,0.6566,23347,24950,20787,0.3877,0.2445520581,0.063
"7",0.4339130435,0.0995405819,NA,4800,0.459,NA,10627,6576,6922,NA,0.5605658709,0.219
"8",0.7860606061,0.1588725176,NA,9900,0.666,NA,NA,NA,NA,NA,0.4715947981,0.086
"9",0.6377086495,0.1103388358,0.24136439454691,8800,0.575,0.2194,15482,19640,13431,0.0863,0.3873000485,0.106
"10",0.908770556,0.1418269231,0.69354208066896,11800,0.725,0.7086,21190,27384,18644,0.4225,0.1988738739,0.045
"11",0.902676399,0.1824817518,0.6307127919911,6300,0.568,0.6422,NA,31708,NA,0.5622,0.2,0.044
"12",0.5322580645,0.0892307692,NA,4900,0.401,NA,4245,7710,1315,NA,0.4423213022,0.11
"13",0.2303262956,0.0503731343,0.23123125,2300,0.333,0.25,NA,10320,NA,0.0536,0.5334773218,0.315
"14",0.372292941,0.0858097415,0.08507872340425,7600,0.611,0.093,NA,16360,NA,0.0476,0.4874431058,0.17
"15",0.5511811024,0.0962643678,NA,5200,0.494,NA,7621,7140,3762,NA,0.4534786253,0.232
"16",0.5918690602,0.1101156069,NA,4400,0.467,NA,9798,7650,6675,NA,0.4584545748,0.162
"17",0.5874602453,0.1181525242,0.26223189823874,8200,0.599,0.3073,NA,18750,NA,0.1193,0.4313358302,0.1
"18",NA,0.0609792731,NA,3900,0.379,NA,8848,5880,4352,NA,0.5360896987,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5503875969,NA
"20",NA,NA,NA,5300,0.403,NA,6040,7350,3115,NA,0.5297113752,NA
"21",0.6121292902,0.1370060571,NA,4800,0.518,NA,11188,7650,7817,NA,0.5290178571,0.186
"22",NA,NA,NA,4300,0.375,NA,NA,7350,7207,NA,0.505,NA
"23",0.5052491498,0.0754226268,0.24616923076923,7200,0.564,0.4,NA,12790,NA,0,0.5277980447,0.116
"24",0.7955271565,0.1432748538,0.44117666666666,12200,0.626,0.4506,NA,24550,NA,0.3004,0.3275590551,0.102
"25",0.7333333333,NA,NA,NA,NA,0.5,NA,9792,NA,0.25,NA,0.173
"26",NA,NA,NA,4900,0.357,NA,NA,6096,10048,NA,0.5936794582,NA
"27",0.6559399303,0.156843484,0.30461334669338,7000,0.521,0.3009,20800,13884,17974,0.0869,0.413028169,0.096
"28",NA,NA,NA,4900,0.437,NA,5301,7358,3888,NA,0.5500821018,NA
"29",0.6412310287,0.1178474114,NA,5100,0.534,NA,13093,7710,9207,NA,0.4873756695,0.16
"30",0.5639686684,0.1151065802,NA,4800,0.472,NA,9758,7650,5686,NA,0.4918952618,0.183
"31",0.7300613497,0.1373239437,0.41956839080459,3100,0.348,0.4316,NA,16258,NA,0.3684,0.4605809129,0.132
"32",NA,NA,NA,4600,0.37,NA,NA,7710,7387,NA,0.4386446886,NA
"33",0.5596868885,0.1051693405,0.32235821596244,8200,0.525,0.329,15706,14886,13092,0.1951,0.3970149254,0.078
"34",NA,NA,NA,4300,0.401,NA,12528,7620,7748,NA,0.5244399185,NA
"35",0.7,0.1625615764,NA,6000,0.6,NA,13210,14778,10679,NA,0.2594594595,0.136
"36",0.2921985816,0.0600130463,0.20903875395987,3700,0.37,0.2017,NA,11604,NA,0.0824,0.4240601504,0.168
"37",0.7388235294,0.1531165312,0.4471603524229,6800,0.561,0.4106,NA,19475,NA,0.249,0.3532934132,0.062
"38",0.7752293578,0.1635720601,0.44648333333333,8000,0.538,0.4438,19453,21220,16877,0.2071,0.3710144928,0.103
"39",0.51934052,0.0968523002,NA,3900,0.384,NA,9897,7621,6513,NA,0.5428176796,0.232
"40",0.7230514096,0.1625911626,0.35456608652411,6900,0.551,0.3887,13341,13268,11294,0.1204,0.3891175126,0.111
"41",0.6103542234,0.1180857676,NA,4100,0.423,NA,5740,7650,3049,NA,0.5943804035,0.232
"42",0.4662650602,0.1487804878,0.40124830148619,4900,0.432,0.4371,NA,16720,NA,0.1988,0.1875843455,0.125
"43",NA,NA,NA,5100,0.332,NA,NA,7650,4703,NA,0.534351145,NA
"44",0.7040816327,0.1160714286,NA,NA,NA,NA,NA,9685,NA,NA,0.3465346535,0.057
"45",NA,NA,NA,6000,0.351,NA,NA,7710,3799,NA,0.5562130178,NA
"46",NA,NA,NA,3900,0.33,NA,6715,7650,4805,NA,0.476635514,NA
"47",0.93708166,0.1558109834,0.6765656779661,9700,0.724,0.661,NA,27324,NA,0.4766,0.1464713715,0.007
"48",0.262295082,NA,0.21408416422287,NA,NA,0.2147,NA,6680,NA,0.0378,0.6174698795,0.142
"49",NA,0.0525008868,NA,4600,0.396,NA,11713,7350,8924,NA,0.4881439084,NA
"50",NA,0.1173840134,NA,4100,0.417,NA,7266,7710,4743,NA,0.545154911,NA
"51",0.7208783029,0.1435614277,0.35899086666666,6800,0.616,0.3824,18436,14076,14327,0.1538,0.3543979505,0.075
"52",0.8286189684,0.1518796992,0.57184751381215,7700,0.713,0.5814,NA,32468,NA,0.5087,0.2893481717,0.066
"53",0.6556291391,NA,0.18747916666666,NA,0.639,0.1765,NA,11370,NA,0.1538,0.4583333333,0.048
"54",0.3541383989,0.0841750842,0.230312,5000,0.386,0.2036,NA,15865,NA,0.1208,0.4034416826,0.187
"55",0.2761341223,0.0742857143,0.57456077348066,1300,0.331,0.443,NA,12509,NA,0.3376,0.4528619529,0.281
"56",NA,NA,NA,4900,0.327,NA,NA,6048,6157,NA,0.4699140401,NA
"57",0.5525268259,0.1192043294,0.34822852367688,8300,0.592,0.3498,12078,14092,11907,0.1456,0.4253235977,0.114
"58",0.6671887236,0.1344,0.45452371541501,6000,0.52,0.4723,NA,19570,NA,0.2133,0.246031746,0.128
"59",0.7352941176,0.11,NA,NA,0.721,NA,NA,NA,NA,NA,0.4382022472,0.042
"60",NA,NA,NA,5000,0.428,NA,12178,7680,7848,NA,0.5795513824,NA
"61",0.7395358924,0.1352718078,0.25254120490888,6600,0.675,0.2504,11306,16466,8661,0.0802,0.418586984,0.124
"62",NA,NA,NA,NA,NA,NA,NA,9300,NA,NA,NA,NA
"63",0.7057331304,0.1360381862,0.3155708226221,5300,0.604,0.3224,12097,16238,9188,0.1494,0.4173913043,0.125
"64",0.703196347,0.1271777003,0.15675074626865,4100,0.587,0.1688,13670,16705,8971,0.0367,0.3784860558,0.116
"65",0.8352490421,0.2032520325,0.51483366336633,8200,0.688,0.6,NA,19610,NA,0.5333,NA,0.077
