"","RPY_3YR_RT","INC_PCT_M2","C150_4_POOLED_SUPP","PCT10_EARN_WNE_P6","GT_25K_P6","C150_4","NPT4_75UP_PUB","TUITIONFEE_OUT","NPT4_PUB","C100_4","PAR_ED_PCT_1STGEN","CDR3"
"2046",0.5788842232,0.1601503759,NA,4900,0.455,NA,8792,4656,6363,NA,0.4882729211,0.225
"2867",NA,0.1904761905,0.62997,NA,0.307,0.6341,NA,46027,NA,0.4634,NA,0.027
"4412",0.7647058824,0.1160541586,0.27478391089108,8100,0.662,0.3085,NA,21150,NA,0.2228,0.4043010753,0.122
"6994",NA,0.0662251656,NA,NA,NA,NA,NA,NA,NA,NA,0.425,NA
"1553",0.5741056218,0.1757009346,NA,6500,0.498,NA,14777,6068,10680,NA,0.4781704782,0.234
"6916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4450867052,NA
"7272",0.9349701393,0.1317547055,NA,NA,NA,NA,NA,24575,NA,NA,0.366148532,0.009
"5086",0.8849226161,0.1538461538,0.24531720613287,13300,0.789,0.2316,NA,8040,NA,0.1829,0.3637071651,0.034
"4842",0.5792349727,0.1204188482,NA,NA,0.143,NA,NA,NA,NA,NA,0.3828571429,0.218
"476",0.5398633257,0.0829361296,NA,5200,0.475,NA,8689,6760,4609,NA,0.6715557884,0.179
"1585",0.4237011685,0.0704771254,0.37818747099767,4700,0.514,0.4127,NA,14011,NA,0,0.5397568402,0.129
"1359",0.6693121693,0.1629063098,NA,5700,0.552,NA,10281,4032,7568,NA,0.4179431072,0.07
"5284",0.3865505564,0.0598187311,NA,3800,0.24,NA,NA,NA,NA,NA,0.5726681128,0.205
"2954",0.7696011004,0.1696658098,0.42035180722891,9900,0.692,0.4326,NA,29430,NA,0.3174,0.3855932203,0.072
"5920",NA,NA,NA,NA,NA,1,NA,9968,NA,0,0.5531914894,0.146
"3827",0.5106382979,0.0973451327,NA,NA,0.217,NA,NA,NA,NA,NA,0.587628866,0.098
"5517",0.340832396,NA,NA,3100,0.303,NA,NA,NA,NA,NA,0.5349794239,0.118
"7624",0.4586824769,0.0731064995,NA,9600,0.697,NA,NA,NA,NA,NA,0.5214854804,0.116
"2921",0.5415991356,0.1045125585,NA,5700,0.476,NA,6742,7302,3129,NA,0.5394769005,0.187
"5974",0.781420765,0.1085526316,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.106
"7182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"5006",0.6129032258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.203
"965",0.8012232416,0.130952381,0.34146341463414,6700,0.681,0.4,10415,18888,8331,0.08,0.4481132075,0.066
"2052",NA,NA,NA,NA,NA,NA,NA,4500,2402,NA,NA,NA
"2965",0.4867256637,0.1104972376,NA,NA,0.14,NA,NA,NA,NA,NA,0.5157232704,0.115
"103",0.4089440994,0.0815370778,0.26052605042016,6400,0.578,0.2969,NA,18048,NA,NA,0.4972857507,0.188
"2936",0.8946877912,0.2007469655,0.6274055732484,11800,0.698,0.6275,NA,27990,NA,0.5068,0.3019607843,0.042
"6675",NA,NA,NA,NA,NA,NA,NA,8372,NA,NA,NA,NA
"2612",0.9139868268,0.1563236449,0.71474313453536,9700,0.635,0.7338,20011,17218,17209,0.558,0.2706325932,0.031
"3700",0.8288043478,0.1148523985,NA,11900,0.783,NA,NA,16170,NA,NA,0.4615803815,0.074
"4600",0.5950617284,0.1418918919,NA,4600,0.27,NA,NA,NA,NA,NA,0.5896805897,0.171
"3786",0.818528509,0.1521089823,0.56204988774135,10800,0.712,0.5511,18415,19086,13363,0.266,0.3741785543,0.084
"1429",0.79,0.169527897,0.3908008016032,10400,0.572,0.4064,NA,22230,NA,0.3699,0.3648960739,0.104
"6346",0.6551724138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.161
"5126",0.4089440994,0.0815370778,0.30587823529411,6400,0.578,0.3608,NA,18048,NA,0.1379,0.4972857507,0.188
"6090",0.3498452012,0.0492424242,NA,3900,0.382,NA,NA,14048,NA,NA,0.5783227848,0.201
"828",NA,NA,NA,NA,0.549,NA,NA,NA,9453,NA,0.6032388664,NA
"5548",0.4586824769,0.0731064995,NA,9600,0.697,0.3846,NA,12975,NA,0.25,0.5214854804,0.116
"3153",0.4943820225,NA,NA,NA,0.212,NA,NA,NA,NA,NA,0.4931506849,0.105
"6291",0.6366964416,0.1384120172,NA,6600,0.571,NA,NA,14040,NA,NA,0.3804213135,0.164
"4958",0.3301204819,0.0542231491,NA,3500,0.428,NA,NA,NA,NA,NA,0.590778098,0.23
"5999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7857142857,NA
"4237",0.3551181102,0.0217640321,NA,2000,0.134,NA,NA,NA,NA,NA,0.4889053254,0.204
"4058",NA,0.1603773585,0.62264716981132,NA,0.439,0.625,NA,13590,NA,0.5143,NA,0.057
"6045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16
