"","INC_PCT_M2","C150_4_POOLED_SUPP","PCT10_EARN_WNE_P6","GT_25K_P6","C150_4","NPT4_75UP_PUB","TUITIONFEE_OUT"
"2046",0.1601503759,6399.64135021097,4900,0.455,0.479596262833676,8792,4656
"4412",0.1160541586,0.27478391089108,8100,0.662,0.3085,13560.7976040353,21150
"1553",0.1757009346,6399.64135021097,6500,0.498,0.479596262833676,14777,6068
"5086",0.1538461538,0.24531720613287,13300,0.789,0.2316,13560.7976040353,8040
"476",0.0829361296,6399.64135021097,5200,0.475,0.479596262833676,8689,6760
"1585",0.0704771254,0.37818747099767,4700,0.514,0.4127,13560.7976040353,14011
"1359",0.1629063098,6399.64135021097,5700,0.552,0.479596262833676,10281,4032
"2954",0.1696658098,0.42035180722891,9900,0.692,0.4326,13560.7976040353,29430
"2921",0.1045125585,6399.64135021097,5700,0.476,0.479596262833676,6742,7302
"965",0.130952381,0.34146341463414,6700,0.681,0.4,10415,18888
"103",0.0815370778,0.26052605042016,6400,0.578,0.2969,13560.7976040353,18048
"2936",0.2007469655,0.6274055732484,11800,0.698,0.6275,13560.7976040353,27990
"2612",0.1563236449,0.71474313453536,9700,0.635,0.7338,20011,17218
"3786",0.1521089823,0.56204988774135,10800,0.712,0.5511,18415,19086
"1429",0.169527897,0.3908008016032,10400,0.572,0.4064,13560.7976040353,22230
"5126",0.0815370778,0.30587823529411,6400,0.578,0.3608,13560.7976040353,18048
"5548",0.0731064995,6399.64135021097,9600,0.697,0.3846,13560.7976040353,12975
"179",0.0689338235,6399.64135021097,4000,0.434,0.479596262833676,6647,5590
"3656",0.1535319558,0.73387345454545,10700,0.735,0.722,13560.7976040353,38120
"3352",0.1641791045,0.53066321353065,12900,0.725,0.5283,20364,24188
"761",0.0942643042,0.66757685433422,6000,0.535,0.5465,13560.7976040353,22796
"2419",0.1621499548,6399.64135021097,5300,0.46,0.479596262833676,11018,8850
"3966",0.1486129458,0.82507393239276,15500,0.813,0.8258,23955,28048
"3110",0.2092494314,0.63518349282296,9900,0.66,0.6484,13560.7976040353,31866
"4972",0.0667938931,0.65265789473684,5000,0.53,0.7143,13560.7976040353,13830
"644",0.1238235294,0.25383333333333,6900,0.657,0.2313,13560.7976040353,19450
"3635",0.1680412371,0.92684594010497,12700,0.81,0.9286,13560.7976040353,43838
"2975",0.1723202171,0.643627860262,8000,0.619,0.6555,13560.7976040353,41920
"3049",0.1623376623,0.4248156862745,10900,0.6,0.3188,13560.7976040353,11980
"2480",0.1398188263,6399.64135021097,4700,0.435,0.479596262833676,9527,6635
"1545",0.1219954649,0.12403981623277,3700,0.428,0.1097,14449,16688
"1825",0.1606864275,0.4384448275862,6300,0.541,0.4455,13560.7976040353,20486
"4889",0.0815370778,0.45784939759036,6400,0.578,0.5455,13560.7976040353,18048
"3464",0.0210420842,6399.64135021097,1600,0.173,0.479596262833676,9222,5158
"2686",0.117746005,0.24808009188361,6100,0.483,0.2523,13560.7976040353,22900
"2055",0.1597526411,0.4753873160832,10400,0.682,0.4972,13560.7976040353,15580
"3632",0.1507311586,0.35099072847682,10000,0.633,0.3619,13560.7976040353,22670
"3275",0.1875,0.74199171597633,13400,0.77,0.7544,13560.7976040353,37470
"3758",0.0843833524,6399.64135021097,3900,0.392,0.479596262833676,9637,3420
"3440",0.1547491996,0.6574,13700,0.789,0.6745,13560.7976040353,35690
"3874",0.1111111111,0.58393288590604,2800,0.336,0.5904,13560.7976040353,38110
"1573",0.1225806452,0.41978888888888,15600,0.735,0.4103,13560.7976040353,22896
"1733",0.1448763251,0.73498114754098,13900,0.737,0.7811,13560.7976040353,31188
"4354",0.0858097415,0.10391818181818,7600,0.611,0.15,13560.7976040353,16360
"4866",0.0733325573,0.24502516556291,7900,0.659,0.3065,13560.7976040353,18748
"4245",0.113198402089198,0.17758390041493,0.481198554177153,0.490295663600526,0.1797,9468,4041
"3840",0.1288088643,0.48836976744186,4700,0.48,0.4167,13560.7976040353,13500
"1807",0.0591993186,6399.64135021097,4400,0.449,0.479596262833676,8325,4252
"1952",0.1838509317,0.64595395480225,14800,0.779,0.6139,13560.7976040353,32842
"3421",0.1870286576,0.56828464800678,13100,0.723,0.5564,13560.7976040353,31262
