"","x"
"2046",0.5788842232
"4412",0.7647058824
"1553",0.5741056218
"5086",0.8849226161
"476",0.5398633257
"1585",0.4237011685
"1359",0.6693121693
"2954",0.7696011004
"2921",0.5415991356
"965",0.8012232416
"103",0.4089440994
"2936",0.8946877912
"2612",0.9139868268
"3786",0.818528509
"1429",0.79
"5126",0.4089440994
"5548",0.4586824769
"179",0.4464023495
"3656",0.8957883369
"3352",0.9073179792
"761",0.4487495038
"2419",0.5753033547
"3966",0.9562380649
"3110",0.9269230769
"4972",0.7115749526
"644",0.5883685801
"3635",0.9559099437
"2975",0.9236641221
"3049",0.6692913386
"2480",0.660390516
"1545",0.5730769231
"1825",0.7771345876
"4889",0.4089440994
"3464",0.1906779661
"2686",0.5200945626
"2055",0.7744646246
"3632",0.7728026534
"3275",0.9446366782
"3758",0.4295180723
"3440",0.9680729761
"3874",0.9310344828
"1573",0.8153846154
"1733",0.86
"4354",0.372292941
"4866",0.3347865034
"4245",0.6774193548
"3840",0.5546875
"1807",0.3721927317
"1952",0.9115151515
"3421",0.9036519037
"1324",0.9184845006
"5643",0.4545203508
"3422",0.8938271605
"1366",0.823907455
"569",0.5797027166
"2096",0.8793814433
"1605",0.4156305506
"2149",0.8362831858
"3115",0.9415730337
"5454",0.8858075041
"2865",0.8346153846
"1439",0.7171717172
"1423",0.4403242497
"4116",0.9323882225
"2922",0.6132596685
"758",0.896170728
"829",0.3347865034
"2387",0.3184844384
"1641",0.977037037
"3877",0.9040553907
"2018",0.8063683305
"3889",0.7440305635
"4220",0.5111926331
"969",0.7800081934
"1922",0.4798596277
"751",0.3352553542
"2309",0.7908045977
"2545",0.6671204901
"1965",0.9190919674
"1238",0.8167770419
"3816",0.6814671815
"3821",0.5622119816
"1927",0.9081163859
"2595",0.7040593627
"4717",0.6440677966
"2914",0.8162839248
"4143",0.9646772229
"3380",0.8258362168
"2287",0.8872260823
"1574",0.6725
"3198",0.6711552091
"3431",0.7514088917
"811",0.8122717312
"1845",0.447646895
"3712",0.4089440994
"2776",0.6057142857
"3901",0.8555555556
"2069",0.3557642149
"1228",0.984503632
"463",0.7803278689
"1258",0.8897196262
"2219",0.7869704237
"1428",0.4125087843
"1911",0.8902355753
"1346",0.6226415094
"3545",0.474428347
"207",0.3017883756
"3914",0.8391089109
"1029",0.6672030035
"981",0.9336541767
"975",0.4089440994
"2424",0.6095744681
"3756",0.5961574684
"5049",0.7058823529
"735",0.6361685001
"881",0.2689486553
"374",0.3605150215
"703",0.9611978068
"3646",0.7613636364
"1305",0.9370199693
"507",0.9444444444
"2961",0.8538596877
"3658",0.6357501298
"614",0.4943253468
"2614",0.8556647698
"2307",0.8884140551
"5770",0.2529680365
"2165",0.5875610274
"2944",0.5480059084
"3261",0.9670932358
"1300",0.9151343706
"1982",0.349379466
"3453",0.8521174863
"1264",0.9638157895
"2716",0.8107638889
"3575",0.5249169435
"5768",0.664516129
"3075",0.5527306968
"2079",0.5680819912
"605",0.6944869832
"3466",0.417561887
"802",0.4353653821
"2447",0.5942395149
"523",0.793814433
"4122",0.8352090032
"1690",0.875792142
"6336",0.6904761905
"1298",0.5544186047
"3147",0.8017163505
"4132",0.9278350515
"1700",0.7403369673
"1763",0.8443197756
"3707",0.4127725857
"1132",0.8300803674
"2546",0.6926546392
"2278",0.7735849057
"2569",0.8755935423
"1080",0.8878640777
"1352",0.7673325499
"82",0.25297442
"2607",0.8083048919
"3468",0.7287344398
"3605",0.906779661
"5994",0.7486651411
"3167",0.9272076372
"621",0.8059360731
"527",0.9016460905
"2754",0.4556720686
"3911",0.685483871
"764",0.6
"2135",0.66769468
"3637",0.6576544944
"1919",0.8512616202
"3071",0.8303886926
"509",0.6515151515
"3210",0.8926237162
"2685",0.3536585366
"1235",0.9784946237
"393",0.9278409091
"3443",0.7236842105
"14",0.372292941
"3197",0.8651574803
"1889",0.879231473
"1181",0.9421157685
"3446",0.8331668332
"3334",0.875672541
"2872",0.5160838461
"852",0.5397166166
"1736",0.7127564674
"3151",0.7948260482
"1370",0.6964185786
"2113",0.462915601
"2878",0.9655172414
"3313",0.875672541
"4739",0.7934782609
"5445",0.4251278305
"3832",0.7842488418
"1348",0.7938446507
"2410",0.6666666667
"2503",0.8080924855
"2787",0.4193548387
"211",0.8917197452
"1991",0.7039420756
"310",0.6033519553
"1245",0.8143497758
"2850",0.4892867625
"2354",0.6679331307
"1412",0.7261462206
"7129",0.883528601
"2715",0.4984375
"4093",0.7431328879
"79",0.1836195509
"2735",0.742970123
"673",0.9588313413
"949",0.7341643348
"5222",0.4020618557
"1725",0.7488299532
"1130",0.8076923077
"1798",0.5931863727
"674",0.9207073588
"3745",0.5182072829
"2910",0.6930385116
"252",0.9166137566
"2957",0.8538596877
"548",0.5115562404
"5042",0.2990110308
"5533",0.4089440994
"4636",0.4089440994
"3411",0.9326347305
"3518",0.4576654115
"2699",0.335308796
"3201",0.3267973856
"2489",0.7747817653
"2455",0.9137700535
"3780",0.9139123751
"2877",0.7987421384
